,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID005093-1,0.15542558282928207,0.05110060592608349,0.12184521551335781,0.056508438537508004,0.41074853888868473,0.20437161830508402,0.5502604347524133,0.3886918667271322
CID005215-1,0.11285301702341144,0.029520007579043755,0.13972327965678216,0.009614848675142663,0.44086657160540527,0.26742227546021474,0.5285274356103024,0.3224198018433049
CID005217-1,0.16567387227447125,0.0239590682715214,0.14906534973329247,0.03655464739800698,0.3260590944334256,0.29868796788928237,0.5329033285555025,0.313140400547559
CID005219-1,0.14020304562146405,0.07626873629165691,0.10166411619871928,0.03729908667302933,0.43447575148134204,0.21008926373378842,0.5718585468585469,0.3980105250999135
CID005222-1,0.1378157766651291,0.040495299662673324,0.07691192561445948,0.04208379186703696,0.4804667198996979,0.22222648629100322,0.6285856715567583,0.4001989858143561
CID005224-1,0.05604091142006353,0.34583253407565084,0.18674171737184433,0.00022999785342482353,0.16576527012529083,0.24538956915372565,0.551219159773146,0.5177423182186603
CID005225-1,0.08953749165381034,0.08047253540029661,0.1276638671005187,0.0025242234379403957,0.33110633513361803,0.36869554727381587,0.7069539931925253,0.404736199195306
CID005416-1,0.1500958839402709,0.014747562920153435,0.18020617389872798,0.061599877780782235,0.2986176355642208,0.2947328658958447,0.5512875475149333,0.3420196192869547
CID005418-1,0.0070608354823129766,0.36994895478069323,0.16655172745639416,0.007881964432221854,0.1804165005885593,0.26814001725981845,0.7200263504611331,0.5393963163416465
CID005420-1,0.14835669521864808,0.04367751686020303,0.14871459970209497,0.3220746175267609,0.1787935507442674,0.1583830199480256,0.5425768233987412,0.3347181902660711
CID005422-1,0.13575490104710772,0.06281123476572419,0.11342486487628077,0.08215689222734698,0.265164523157333,0.3406875839262073,0.5940705939531398,0.3714741387647942
CID005424-1,0.12365295764387321,0.08472764442327199,0.11919628471659091,0.023944038972650135,0.30328453177554604,0.34519454246806774,0.6507235621521336,0.38852358801788967
CID005425-1,0.17093571994737952,0.08407702060312379,0.15967926903783486,0.001513942676415865,0.25632711363635863,0.3274669340988873,0.48833179723502296,0.3249803627643697
CID005614-1,0.15959109835264237,0.05662248315821242,0.10817067954169496,0.03056470429614256,0.4193835818633204,0.22566745278798725,0.6284927643926187,0.39785976141201296
CID005616-1,0.10659563362355302,0.1136650484031595,0.20940924443563505,0.005343210602782395,0.2656873313494621,0.29929953158540784,0.5505356311131812,0.3224410137884758
CID005618-1,0.2174924388423398,0.04489552107373362,0.15635038224464587,0.033050891069832056,0.41640811474468425,0.13180265202476443,0.5588724542552712,0.39419054757180827
CID005620-1,0.17168748675645348,0.06115861157632712,0.09711351126006212,0.007609161579788598,0.4314826258902695,0.23094860293709918,0.6077404386951631,0.3866327827169751
CID005844-1,0.09454145262003379,0.0009660926206657432,0.09102234372517792,0.1386832095593358,0.3323317699264554,0.34245513154833135,0.47407434165372253,0.3080171886805856
CID005845-1,0.07434144619504154,0.06893381189168253,0.07217126976012664,0.06162998458521881,0.4577085760767995,0.2652149114911311,0.47925592559255925,0.26967145550777016
CID005860-1,0.1108449589399204,0.04544335094355525,0.21528582391084258,0.009475460669750625,0.28246215663375684,0.33648824890217427,0.5788824383164005,0.2917674198158946
CID005868-1,0.042653706540890575,0.27972487958435194,0.183310230817168,0.11866596505905236,0.05615543998037409,0.31948977801816303,0.45616502578527895,0.35014183749535877
CID005874-1,0.12473019493183783,0.09149391604915989,0.12203967528728651,0.010100879399681252,0.3294931911337834,0.32214214319825113,0.6306618515174665,0.3520208982221088
CID005875-1,0.15531356564385762,0.05585049572662311,0.134540733640911,0.010082582446339234,0.31876215013896353,0.32545047240330566,0.6244438415626695,0.34568968046976223
CID006320-1,0.10359317867674385,0.03488400174323773,0.07882880064548566,0.06929057277862471,0.4495974610912276,0.2638059850646804,0.6515580544641648,0.40362908185064394
CID006322-1,0.09394752861421077,0.09090871872269882,0.12548084037709428,0.014063464542191081,0.29569342961302514,0.37990601813078,0.5412502591747875,0.33394101969100465
CID006328-1,0.11901832323187943,0.11628175416408076,0.13047653083238486,0.014505274837237831,0.2868312394648489,0.3328868774695682,0.6123329685742027,0.30290467516885466
CID006331-1,0.11217780868385628,0.03457456245480728,0.17845129341443747,0.008781453282156562,0.4960053158310895,0.1700095663336529,0.6361536377184663,0.4212390772784538
CID006336-1,0.1035872144763283,0.016873846836530863,0.1990841180132674,0.03203497197264768,0.295003646698635,0.35341620200259083,0.6209543989360503,0.39535264567941275
CID006340-1,0.13986050317854462,0.055413130062901605,0.07660381417396529,0.056637805187359364,0.46765283685446196,0.20383191054276717,0.6098767104728356,0.37098984173775906
CID006468-1,0.13521660377854136,0.027387314057020468,0.15416101851890512,0.007337693136382816,0.3448020414420662,0.3310953290670839,0.5403099375067731,0.2635261112958429
CID006469-1,0.09144577398120039,0.04263299563373592,0.14043262470427142,0.00044220650921409467,0.33132913088202387,0.39371726828955417,0.4832282003710575,0.2687365035758157
CID006478-1,0.10361593856922725,0.0931747299437102,0.11696444137681979,0.0013899456082844437,0.3284789081902508,0.3563760363117075,0.5603260951010804,0.31702248443582715
CID006480-1,0.05932979751142407,0.037662888728062546,0.14060512973828337,0.04120026709070432,0.3518446978213889,0.36935721911013686,0.632627265782346,0.40629248142441143
CID006484-1,0.11463763101182758,0.06958418250361785,0.11534709577517928,0.009336198349236796,0.3594398058951401,0.33165508646499836,0.5783542387867344,0.3439829199810738
CID006486-1,0.09715633969704532,0.06159925877263227,0.07872814305095312,0.02670851241300418,0.47434491245010857,0.26146283361625666,0.5859446417599544,0.30615485524483566
CID006493-1,0.13300685853476935,0.03244745382647876,0.07701452483913306,0.050719477120075344,0.4729456284475694,0.23386605723197412,0.5813618813618814,0.31080170906950255
CID006494-1,0.12831864929030318,0.0780125964318437,0.12271571133677514,0.027230266280002035,0.3261838831763903,0.31753889348468567,0.5546940209989896,0.3504976087053042
CID006494-2,0.07745705268970945,0.13334342102002728,0.17880918738205379,0.09136405051403004,0.24220584001398132,0.27682044838019804,0.5291777441998355,0.39788461319634216
CID006515-1,0.10211277451098773,0.00651181659910403,0.07311105400080611,0.05803115291897529,0.38084585953721006,0.3793873424329169,0.6243141097424412,0.328638289630637
CID006527-1,0.08291541600434682,0.057214978831598325,0.15271405680975403,0.024545921773936715,0.30058149089406205,0.38202813568630206,0.4647153167602245,0.22870436881167888
CID006542-1,0.10304674042679633,0.00904220852609929,0.15346511422522086,0.037740702819477945,0.43538426730914,0.2613209666932656,0.5651485148514852,0.33710759202779483
CID006544-1,0.05223749321786051,0.002759616630700714,0.16454778330872974,0.08483418895661707,0.314283922121601,0.381336995764491,0.5461240199300733,0.3786677988741145
CID006548-1,0.15434703220949983,0.01879785278171527,0.1151866002814488,0.039222478760697066,0.43416318749291466,0.23828284847372425,0.5824538466740301,0.3248058095298725
CID006551-1,0.10824947153726715,0.06257071847504916,0.10168300027745318,0.0018171766752983283,0.3681459220733212,0.357533710961611,0.6244774273345702,0.3238723888460464
CID007329-1,0.21758882547903324,0.011111062059033986,0.22531489965868126,0.03758708835863162,0.2210330184285327,0.2873651060160872,0.49680804745237517,0.3326593960610319
CID007330-1,0.1370585826223078,0.02642091869091642,0.1164394710665355,0.04996963998490854,0.4249676645080288,0.24514372312730293,0.710412888082791,0.4315155184822871
CID007338-1,0.11372894144467897,0.05690176838018744,0.11208428705659998,0.00511221266249076,0.3251784400929698,0.38699435036307306,0.6205121257282211,0.3887175392246167
