,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.05764635970166681,0.148661273412668,0.104670114235632,0.41318161994373354,0.2445832451852801,0.03125738752101957,0.7849575651155984,0.6742389307143121
CID003353-1,0.03643607328790539,0.6619015697867009,0.00536644379676647,0.05947429735587006,0.23457056915603058,0.0022510466167266056,0.9088026477339454,0.80593916251333
CID003354-1,0.15847140615656496,0.4752213174032561,0.0017342092548787678,0.2598130485304645,0.10428847596484166,0.00047154268999399047,0.8731802368880137,0.8391151284153447
CID003355-1,0.2138977962953698,0.2735871627085708,0.1250804596520533,0.0021493349740440253,0.306731819628739,0.07855342674122297,0.7168945959624946,0.5453951679410708
CID003356-1,0.19483353630407363,0.20335633997219027,0.010820184097901251,0.28780946822183184,0.30007640589457335,0.003104065509429714,0.8657057848014827,0.7842422568182836
CID003357-1,0.17237506196380373,0.2850256249548048,0.00027210129533680174,0.16914053703048093,0.3703380998697221,0.0028485748858514235,0.6671629322061373,0.47981620371033507
CID003358-1,0.02386493406915641,0.4954125797094572,0.029554720705255,0.11218086105936755,0.3286576279738427,0.010329276482921191,0.8854074812290963,0.7395804970302795
CID003359-1,0.09708774482539399,0.3633815554530428,0.001589465189246578,0.38977780906887,0.14523404361926817,0.002929381844178489,0.8571734628293937,0.7634744533189733
CID003360-1,0.39986667748529947,0.0811711190757913,0.0016446492559664043,0.3192709469023747,0.19293716427344715,0.005109443007121,0.8063359672227101,0.6113896722116876
CID003361-1,0.27482222090950514,0.30089766554116354,0.006039089540550784,0.22743207159392073,0.18721727272943134,0.0035916796854285416,0.8091844698078235,0.5902565652351767
CID003362-1,0.12125775653971108,0.4009966309888614,0.004269261566454866,0.4100028680831804,0.05885229600431369,0.004621186817478549,0.8945273631840795,0.7900818903281042
CID003363-1,0.19768957552614963,0.4095152812757337,0.03179177438208347,0.0705645243383196,0.26092811187781406,0.029510732599899503,0.7830992098331869,0.6809251002308574
CID003364-1,0.22752377409477112,0.261580571620642,0.004116625341693151,0.1454036538197476,0.3604873488673112,0.0008880262558349204,0.8402448541605696,0.7433656347885319
CID003365-1,0.08054969814614191,0.4629694867637891,0.02124155305305636,0.26324198005503113,0.17024556186483272,0.0017517201171489303,0.8430982343186031,0.7646428036256364
CID003366-1,0.036207445321166806,0.0005143485472001397,0.32029706679420655,0.35494063395947006,0.2851540450397931,0.0028864603381633333,0.8346611315189337,0.7179882262988443
CID003367-2,0.14993088459752751,0.0228922327225601,0.08889078147729289,0.37231498089286996,0.34465463206365754,0.021316488246091933,0.8424934152765584,0.6476844483790464
CID003368-1,0.21854164404699236,0.268604674070092,0.005299096085518642,0.16128852938192917,0.3461153420006448,0.00015071441482305658,0.8079826431751019,0.6854981069430957
CID003369-1,0.1479808827003362,0.3324126022688897,0.0031252447751169304,0.27583613972218296,0.2388345720570794,0.0018105584763948002,0.6217010187159441,0.30942995765720804
CID003370-1,0.30564048650166914,0.30220943693003877,0.001759157770703433,0.009813813045963293,0.3168431699860061,0.06373393576561921,0.8642327577797287,0.6988899309474675
CID003371-2,0.3020663105135677,0.13337476549753438,0.020809830589416333,0.24148038535138633,0.2987025050460081,0.0035662030020871946,0.8629889766852014,0.65054889848014
CID003372-1,0.293328055175055,0.13736027803753625,0.0034751154894194763,0.13038942494237418,0.4347621470630241,0.0006849792925908914,0.8416439107719547,0.7426687703191195
CID003373-1,0.014607807996637362,0.49263830156891847,0.015744087569140582,0.24785837218307208,0.20478963007877227,0.024361800603459233,0.5939135491374298,0.3515019942897697
CID003374-1,0.013031792297676049,0.8073895911157805,0.005153192651274956,0.16723851442850932,0.00359490745495037,0.003592002051808907,0.9369119315702191,0.8323744334229095
CID003375-1,0.08538011706392687,0.5597900749527257,0.009527038447820161,0.3259337251817915,0.0005717889481122265,0.01879725540562348,0.9345868695737001,0.8846126147808477
CID003376-1,0.029539568579822838,0.45297680818858804,0.07489399217671919,0.33879394268450075,0.09080182861545344,0.012993859754915755,0.875992586089162,0.6867982205981927
CID003377-1,0.016739887894175878,0.32728576535534504,0.44590259943003885,0.055693353772350344,0.1430948239105438,0.01128356963754616,0.6490649962763081,0.3492109407297763
CID003378-1,0.06069775494039535,0.6067507320349378,0.0174876709355242,0.13673537851565956,0.177714057562078,0.0006144060114051129,0.9180323493300592,0.8516242508720572
CID003379-1,0.0008324164817459808,0.6634702384511335,0.0004313023399525995,0.08507007489753904,0.24993008692823623,0.0002658809013926405,0.9343763071178625,0.9008203511996233
CID003380-1,0.02158803256322481,0.4906607839812579,0.04280365732359275,0.06586651836028165,0.3740828940285309,0.004998113743111993,0.836830553116769,0.6439348550553071
CID003381-1,0.033916310513050704,0.2554584775982955,0.06667183216548721,0.20096714928398987,0.43475712477957984,0.008229105659597013,0.5949398130997167,0.4007404556468048
CID003382-1,0.15227122463281498,0.36912188496360215,0.04315373525738544,0.07434090488468778,0.35973032637971875,0.001381923881790896,0.6157252950931615,0.35505181884110026
CID003383-1,0.12597348217878873,0.3435362945299121,0.0012503979008986908,0.35967320801569647,0.16845515114781365,0.0011114662268903836,0.8897961174519557,0.7072007550171051
CID003384-1,0.23306529905645815,0.4543229995601098,0.004943939570814188,0.25180986010695117,0.05546519944410449,0.0003927022615621968,0.9158598667632447,0.8348244818721455
CID003385-1,0.059560711686017315,0.575041173557027,0.009613195752493314,0.31353118961924276,0.041749700100200814,0.0005040292850188372,0.8931607626030249,0.8230055957780177
CID003386-1,0.008974936426324508,0.00019102123837146356,0.3172444585686932,0.23654418440013517,0.31982408947392366,0.11722130989255208,0.7521228878648234,0.7267338897163135
CID003665-1,0.004554647182152161,0.6536317000226801,0.02729505666596236,0.024758331875210364,0.28876992663231954,0.0009903376216754722,0.6960651289009498,0.5668462871237806
CID003666-1,0.0046193890919941985,0.674536984583138,0.0036122627375660406,0.3163973716737718,0.0005025258768730193,0.0003314660366568631,0.9020785795334106,0.8678036917505257
CID003667-1,0.015394328800198432,3.192012115851146e-05,0.18486410393540942,0.44360236310778894,0.35306691685650343,0.0030403671789413,0.7868252721355629,0.6954702918245059
CID003669-1,0.0016197993084290866,0.0001862464284316737,0.2304519515926633,0.4285974831985403,0.3206501431436423,0.01849437632829332,0.7502975319481026,0.6474323889446209
CID003670-1,0.2966270385471151,0.0010184235197916018,0.0602130843401625,0.3175129934194726,0.2983955129177551,0.02623294725570313,0.7447313634537418,0.6447826002101359
CID003671-1,0.008179178660584402,0.0001302860748839556,0.32833977394096725,0.27472196293381873,0.3083812672005681,0.08024753118917753,0.8130736278586821,0.5903757591210841
CID003672-1,0.1922957259461555,0.04826642003578352,0.002024378905523272,0.3251349415102323,0.43178062279686696,0.0004979108054384698,0.8170078214272669,0.7355183916634962
CID003673-1,0.09959403233941136,0.485247758711393,0.023149505954291324,0.26123521218823387,0.13069187302046142,8.16177862091232e-05,0.9002146132084674,0.834336672165744
CID003674-1,0.3226581770100957,0.23837056092031483,0.06514523192546316,0.1496979120681579,0.21768464499120266,0.006443473084765853,0.692310377934887,0.4685523575532464
CID003675-1,0.15722230195247494,0.3623244006917476,0.013034122235949665,0.33192235467706743,0.13331957115593207,0.002177249286828305,0.8643025474133094,0.6052321023813978
CID003676-2,0.024221313769361385,0.41972903602723466,0.0026955146377537127,0.37165305733003273,0.13365934132019694,0.048041736915420546,0.9214418105550677,0.8260336800821707
CID003677-1,0.0035683046990585498,0.3645880195701198,0.01335849376022346,0.003452018489335058,0.6056920810596826,0.00934108242158043,0.6725944213768251,0.5565915144784386
CID003678-1,0.129736687438852,0.5924876850267266,0.0061788215991073914,0.03642807574038921,0.2325338426888433,0.002634887506081502,0.8792952530580181,0.7983045746776521
CID003679-1,0.26959735047016115,0.2555572053707136,0.0017271412791655197,0.0005736366563516012,0.47204678358877356,0.0004978826348346148,0.8573358696712514,0.7006010187950871
CID003680-1,0.0020205142439342514,0.5877892301685503,0.001060153658625346,0.04495177895422845,0.3532180614957003,0.010960261478961307,0.707779163383824,0.5345822823323333
CID003681-1,0.047598566833028266,0.5862666268161865,0.0060178015926151,0.18230141098293892,0.17776516042828738,5.043334694383534e-05,0.9082582077083257,0.7422591493474386
CID003682-1,0.1790488080946381,0.6183333328281171,0.004527402257646385,0.08061286222159662,0.10853960465999375,0.008937989938008,0.9200222401322166,0.8244661643156568
CID003683-1,0.07742773685269315,0.5694358606678419,0.005191342707963002,0.3360757063045961,0.0008029189896876,0.011066434477218298,0.9091060985797828,0.8015974254227359
CID004696-1,0.17725368268116404,0.24694431353010748,0.0008092559863385555,0.2554435436640819,0.3191812337102479,0.00036797042806005725,0.7487854843429909,0.5609547861256776
CID004697-1,0.06926235375053671,0.15978387309925737,0.049288193873275855,0.3896071130597417,0.3303825471198716,0.0016759190973166577,0.7499414691249633,0.5470802814810328
CID004698-1,0.1632806913748604,0.23847949588527614,0.007383388925581413,0.25050670850228723,0.33708651837689313,0.0032631969351017494,0.761437908496732,0.47746780145779577
CID004699-1,0.07868676526719678,0.28870140426593555,0.01668244118637832,0.383769515098892,0.22786878486620513,0.004291089315392206,0.9057293845196438,0.7812209601628498
CID004700-1,0.08299936330102817,0.3648216885458645,0.004593355988414749,0.3874321514624232,0.15923022368950832,0.0009232170127610783,0.8761437908496732,0.7779082164578083
CID004701-1,0.026158080655663055,0.1912861251408418,0.000840569803605848,0.5528063861165137,0.22859275727388678,0.000316081009488876,0.9177196723151161,0.7911421730056273
CID004702-1,0.11365171367484177,0.4256297462267469,0.0084380566302285,0.4514993538224364,0.0005029393983586569,0.0002781902473879398,0.9034386889083991,0.8615917252483947
CID004703-1,0.1830900968478633,0.1899534274157883,0.002768345482275508,0.3146711266167867,0.30545902030114697,0.004057983336139362,0.8025314603453322,0.7342717214669
CID004704-1,0.15930779241516232,0.1751358207231813,0.0010797974132473825,0.43130863766071714,0.23304338780031625,0.0001245639873754945,0.8406887132962637,0.6864184056883882
CID004705-1,0.22296564293462248,0.2932371317067908,0.020474727968768605,0.168333935703114,0.2792170255658537,0.015771536120850388,0.7710662374402497,0.6394383299192218
