,F0222,F0223,F0224,F0229,F0230,F0231,F0232,F0274,F0303,F0304,F0305,F0306,F0307,F0308,F0460,F0462,F0590,F0591,F0592,F0594,F0595,F0596,F0597,F0598,F0599,F0600,F0601,F0602,F0603,F0604,F0605,F0606,F0607,F0617,F0618,F0619,F0620,F0621,F0622,F0623,F0624,F0626,F0627,F0628,F0629
CD4-naive,42.599225753586495,47.61449511118354,44.580658324132116,45.94291365153856,36.667068732803735,39.38243402220718,40.42841140567032,24.86707266932046,30.896031932052903,38.18622220860038,29.761149090907807,38.708494244689625,29.861763138045056,38.55366822796988,13.329009267791328,38.40558827096657,33.943502068384504,31.339737205958507,32.79553866865296,35.956927892115864,38.75057843546083,38.20561892533892,45.190577575508975,42.09268172203458,35.40095326369831,34.240707796562695,37.78564081073855,28.126526910191362,32.569595722503685,39.399751797157705,42.98843806863845,40.71882550662418,46.35385702308274,36.41376934426622,23.366775839510346,26.381888524814208,24.93721617029305,40.171876313679334,42.9976254558081,32.847099245057684,28.70074040586784,30.39732446332115,39.8810946283801,21.859792148927756,28.551690253277258
CD14,17.054983710601437,16.814345628244936,18.15665019362275,23.659536177073424,25.42267579784364,26.83437450616471,30.984349022816243,42.32268262649247,35.70608192607708,27.08347986480346,34.67246294657656,24.656129493276804,33.40814877503102,23.460885357948037,62.2590417415375,27.50057274862248,30.832567125446396,34.75635349644735,31.348061217110107,30.704049038929416,29.429356826753832,29.64009072421046,21.664802325771184,22.813022553410658,28.11943646221881,24.845277504508797,24.365121010714777,39.469753790155096,28.06085678821707,24.167869233114782,22.61937248554894,27.164071341636976,22.116071009204475,33.16411956575071,45.66172812100859,41.21166662427422,40.09975282664017,25.56684511677941,24.655876848400414,33.12302440661959,35.16671351571327,35.78612504944012,23.212903269032818,43.9043267363681,35.1596887007898
CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK,3.06648855262816,1.4728140933628615,3.8661843249305208,0.6766893707798755,2.4015690497868563,1.0621391031485126,2.1637508357430497,3.318146450299503,3.022236058850705,5.892069171385903,4.496641609020377,5.8789508426094805,5.142458556820949,6.295106458213143,8.322594578373089,3.7095842428970904,4.520227903259556,1.0295670953524034,3.636912833091859,4.400366191480276,1.7175740245460938,2.7177490929417294,0.29157120774087714,2.9815320226518502,3.4835961275047884,2.2491667972649636,3.254655379795215,5.220321342235194,3.3658299859398957,2.9031940076380813,3.7940211561201047,3.862630123915589,2.7558298684625595,1.6821975826188478,2.8219814250871176,2.864220265414955,6.362110944602891,3.0255362261120915,1.9696115019203715,3.1424572778403888,4.25402858932284,2.610957914727822,4.76121479307517,7.126741085776189,4.34902091281977
CD8,1.2937433288823514,0.0,4.980740432729498,0.0,0.0,3.0343412012151614,0.0,0.9659817401788257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1451916336949994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD16,3.3306982839549035,5.27314722659724,0.5184840876209494,0.0,5.901171044192536,0.2580814009748437,2.5378618271604183,7.1408856034848425,3.85390354263332,3.304866456017478,4.0505032919196955,3.698776692886137,3.2641882367031583,2.895276093871518,0.5093599698364493,3.199699560524309,2.621987028980644,8.359825816624577,4.579517221691648,2.880655850161432,3.4875780921241035,3.7324961512584,1.574932247172753,2.7737595680489493,2.267627866403177,4.1231951690948945,2.457478543781463,4.3574886122820375,6.497543180809938,3.0515708975796887,2.594131138760604,3.247557016176196,1.776488070357259,3.719215606472547,7.934516502021455,7.720968596824777,4.51334711155686,4.418453692544632,2.9253990076439047,4.9298280171054465,6.33713717734424,2.9781619842466838,3.1146964650504794,7.874940708737614,6.171884291807855
B-naive,7.846784062460248,2.9524316286285157,4.563798705926257,5.357577505533402,5.839139883963307,6.209953316502501,0.5037228286222465,5.025774043884382,6.748174504784529,5.371823585906001,7.396009905469787,6.5523136799302035,8.50660091364908,6.72690296753882,2.574772448812703,5.821635152124007,5.2370569691156,3.079964356051045,8.519004401552845,3.6153238621276595,5.8584712193125394,4.715973405642691,4.962579623308751,6.602871500604758,6.120252265122225,3.8278745858834804,5.99090742481654,1.531292498787146,5.934065788496088,5.557829979895895,6.106586108924135,3.596034805530156,2.435073595589131,4.3249251406541065,3.045866949919424,3.2125933403692657,3.313790723774384,5.321832974080287,5.187560666667393,4.293758127640171,4.799528655691274,6.680947934118829,6.447674645921313,4.08917093767737,5.1586117545515116
Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.7844435180069945,2.3147454359936317,0.0,0.0,0.0,0.0,0.0,0.0,2.4603272573883386,0.82696332798542,0.0,2.2324971216456704,0.0,0.0,0.601007904665315,0.11006670581090812,0.0,0.0,0.0,0.0,0.0,0.6887993406937122,0.0,0.0,0.0,0.0,0.8778399484961089,0.0,2.4721748550508087,1.3181138183648615,1.3761168642240624,0.0,0.0,0.22870607662631592,0.3717490382516836,1.5300872859789685,0.0,0.09605657924218126,0.11391945892449006
gdT,12.657672816613363,8.802385703704546,11.59261646430081,11.467970548609427,10.425529601749579,9.123094924629564,8.534986772947693,4.058936785810082,9.810566548083566,10.465383134513068,8.720227625916788,9.271131520691673,7.659892874735627,11.542651428346232,1.908025483407956,10.423655815133044,10.66146908723716,5.8259737522365835,9.014656163593846,10.083202200433226,8.764312798489064,10.741701534530925,11.258491746840884,10.288766742368729,11.890710015930336,11.583326248960777,12.495567012038347,8.752534537523653,10.03074862805614,9.8947393964908,8.908740124665695,9.558857406171098,9.717946190556153,9.644892895643,5.101653280546372,7.4060493129783325,7.676603925842618,10.037570225260149,10.624771677725201,11.427392070121915,9.259855314548544,8.057572952024918,10.825142967303728,4.744505118579084,10.290770618303144
CD8-naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
