,Dataset,Cell_type
0,CID005226-1,CD209+ moDC
1,CID005226-1,CD83+ CLEC9A+ DC
2,CID005226-1,CD83- CLEC9A+ DC
3,CID005226-1,CLEC10A+ DC
4,CID005226-1,IL7R+ Activated DC
5,CID005226-1,Mast Cell
6,CID005226-1,Memory B cell
7,CID005226-1,Monocyte Inflammatory
8,CID005226-1,Proliferating myeloid
9,CID005226-1,Resident Macrophage
10,CID005226-1,CD4 SELL naive
11,CID005226-1,CD4 TRM
12,CID005226-1,CD4 Tfh
13,CID005226-1,CD4 Th17
14,CID005226-1,CD4 Tph
15,CID005226-1,CD4 Treg
16,CID005226-1,CD8 Effector
17,CID005226-1,CD8 IEL
18,CID005226-1,CD8 SELL Naive
19,CID005226-1,ILC3
20,CID005226-1,MAIT
21,CID005226-1,NK
22,CID005226-1,Proliferating T cells
23,CID005226-1,gd T cell 1
24,CID005226-1,gd T cell 2
25,CID005226-1,GC-like B cell
26,CID005226-1,Memory B cell
27,CID005226-1,Naive B cell
28,CID005226-1,Plasma Cell
29,CID005226-1,Plasmablast
30,CID005226-1,Arterial Pericyte
31,CID005226-1,Blood Endothelial Cell
32,CID005226-1,Fibroblast
33,CID005226-1,Glial Cell
34,CID005226-1,Inflammatory Fibroblast
35,CID005226-1,Myofibroblast
36,CID005226-1,Pericyte
37,CID005226-1,Post-capillary venules
38,CID005226-1,Proliferating Stromal Cell
39,CID005226-1,Smooth Muscle Cell
40,CID005226-1,Enterocyte
41,CID005226-1,Enteroendocrine Cell
42,CID005226-1,Epithelial M Cell
43,CID005226-1,Epithelial Progenitor Cell
44,CID005226-1,Epithelial Stem Cell
45,CID005226-1,Goblet Cell
46,CID005226-1,Tuft Cell
47,CID005227-1,CD209+ moDC
48,CID005227-1,CD83+ CLEC9A+ DC
49,CID005227-1,CD83- CLEC9A+ DC
50,CID005227-1,CLEC10A+ DC
51,CID005227-1,IL7R+ Activated DC
52,CID005227-1,Mast Cell
53,CID005227-1,Memory B cell
54,CID005227-1,Monocyte Inflammatory
55,CID005227-1,Proliferating myeloid
56,CID005227-1,Resident Macrophage
57,CID005227-1,CD4 SELL naive
58,CID005227-1,CD4 TRM
59,CID005227-1,CD4 Tfh
60,CID005227-1,CD4 Th17
61,CID005227-1,CD4 Tph
62,CID005227-1,CD4 Treg
63,CID005227-1,CD8 Effector
64,CID005227-1,CD8 IEL
65,CID005227-1,CD8 SELL Naive
66,CID005227-1,ILC3
67,CID005227-1,MAIT
68,CID005227-1,NK
69,CID005227-1,Proliferating T cells
70,CID005227-1,gd T cell 1
71,CID005227-1,gd T cell 2
72,CID005227-1,GC-like B cell
73,CID005227-1,Memory B cell
74,CID005227-1,Naive B cell
75,CID005227-1,Plasma Cell
76,CID005227-1,Plasmablast
77,CID005227-1,Arterial Pericyte
78,CID005227-1,Blood Endothelial Cell
79,CID005227-1,Fibroblast
80,CID005227-1,Glial Cell
81,CID005227-1,Inflammatory Fibroblast
82,CID005227-1,Myofibroblast
83,CID005227-1,Pericyte
84,CID005227-1,Post-capillary venules
85,CID005227-1,Proliferating Stromal Cell
86,CID005227-1,Smooth Muscle Cell
87,CID005227-1,Enterocyte
88,CID005227-1,Enteroendocrine Cell
89,CID005227-1,Epithelial M Cell
90,CID005227-1,Epithelial Progenitor Cell
91,CID005227-1,Epithelial Stem Cell
92,CID005227-1,Goblet Cell
93,CID005227-1,Tuft Cell
94,CID005798-1,CD209+ moDC
95,CID005798-1,CD83+ CLEC9A+ DC
96,CID005798-1,CD83- CLEC9A+ DC
97,CID005798-1,CLEC10A+ DC
98,CID005798-1,IL7R+ Activated DC
99,CID005798-1,Mast Cell
100,CID005798-1,Memory B cell
101,CID005798-1,Monocyte Inflammatory
102,CID005798-1,Proliferating myeloid
103,CID005798-1,Resident Macrophage
104,CID005798-1,CD4 SELL naive
105,CID005798-1,CD4 TRM
106,CID005798-1,CD4 Tfh
107,CID005798-1,CD4 Th17
108,CID005798-1,CD4 Tph
109,CID005798-1,CD4 Treg
110,CID005798-1,CD8 Effector
111,CID005798-1,CD8 IEL
112,CID005798-1,CD8 SELL Naive
113,CID005798-1,ILC3
114,CID005798-1,MAIT
115,CID005798-1,NK
116,CID005798-1,Proliferating T cells
117,CID005798-1,gd T cell 1
118,CID005798-1,gd T cell 2
119,CID005798-1,GC-like B cell
120,CID005798-1,Memory B cell
121,CID005798-1,Naive B cell
122,CID005798-1,Plasma Cell
123,CID005798-1,Plasmablast
124,CID005798-1,Arterial Pericyte
125,CID005798-1,Blood Endothelial Cell
126,CID005798-1,Fibroblast
127,CID005798-1,Glial Cell
128,CID005798-1,Inflammatory Fibroblast
129,CID005798-1,Myofibroblast
130,CID005798-1,Pericyte
131,CID005798-1,Post-capillary venules
132,CID005798-1,Proliferating Stromal Cell
133,CID005798-1,Smooth Muscle Cell
134,CID005798-1,Enterocyte
135,CID005798-1,Enteroendocrine Cell
136,CID005798-1,Epithelial M Cell
137,CID005798-1,Epithelial Progenitor Cell
138,CID005798-1,Epithelial Stem Cell
139,CID005798-1,Goblet Cell
140,CID005798-1,Tuft Cell
141,CID005799-1,CD209+ moDC
142,CID005799-1,CD83+ CLEC9A+ DC
143,CID005799-1,CD83- CLEC9A+ DC
144,CID005799-1,CLEC10A+ DC
145,CID005799-1,IL7R+ Activated DC
146,CID005799-1,Mast Cell
147,CID005799-1,Memory B cell
148,CID005799-1,Monocyte Inflammatory
149,CID005799-1,Proliferating myeloid
150,CID005799-1,Resident Macrophage
151,CID005799-1,CD4 SELL naive
152,CID005799-1,CD4 TRM
153,CID005799-1,CD4 Tfh
154,CID005799-1,CD4 Th17
155,CID005799-1,CD4 Tph
156,CID005799-1,CD4 Treg
157,CID005799-1,CD8 Effector
158,CID005799-1,CD8 IEL
159,CID005799-1,CD8 SELL Naive
160,CID005799-1,ILC3
161,CID005799-1,MAIT
162,CID005799-1,NK
163,CID005799-1,Proliferating T cells
164,CID005799-1,gd T cell 1
165,CID005799-1,gd T cell 2
166,CID005799-1,GC-like B cell
167,CID005799-1,Memory B cell
168,CID005799-1,Naive B cell
169,CID005799-1,Plasma Cell
170,CID005799-1,Plasmablast
171,CID005799-1,Arterial Pericyte
172,CID005799-1,Blood Endothelial Cell
173,CID005799-1,Fibroblast
174,CID005799-1,Glial Cell
175,CID005799-1,Inflammatory Fibroblast
176,CID005799-1,Myofibroblast
177,CID005799-1,Pericyte
178,CID005799-1,Post-capillary venules
179,CID005799-1,Proliferating Stromal Cell
180,CID005799-1,Smooth Muscle Cell
181,CID005799-1,Enterocyte
182,CID005799-1,Enteroendocrine Cell
