,Tumor_model_annot,Blood_model_annot,Dataset
SRX4456915,CD4_T_cells,CD4_T_cells,GSE117655
SRX4677045,CD8_T_cells,CD8_T_cells,GSE119918
SRX4456900,CD4_T_cells,CD4_T_cells,GSE117655
SRX2271035,,CD4_T_cells,GSE89225
SRX2558431,T_helpers,CD4_T_cells,GSE94859
SRX3058207,,Granulocytes,GSE102215
SRX3184896,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404611,,CD4_T_cells,GSE133822
SRX6404709,,CD8_T_cells,GSE133822
SRX4664162,NK_cells,NK_cells,GSE119705
SRX3263518,Monocytes,Monocytes,GSE104744
SRX3361952,Neutrophils,Neutrophils,GSE106520
SRX6457025,,CD4_T_cells,GSE134416
SRX5806632,,CD4_T_cells,GSE130882
SRX2200841,,CD4_T_cells,GSE87505
SRX5019102,gd_T_Cells,T_cells,GSE122624
SRX828406,Non_plasma_B_cells,Non_plasma_B_cells,GSE64655
SRX2271067,,CD4_T_cells,GSE89225
SRX4203033,Neutrophils,Neutrophils,GSE115736
SRX734216,,Granulocytes,GSE62408
SRX682474,CD4_T_cells,CD4_T_cells,GSE60482
SRX6404790,,Monocytes,GSE133822
SRX2635596,T_helpers,CD4_T_cells,GSE96538
SRX2585452,B_cells,B_cells,GSE95282
SRX3184990,CD4_T_cells,CD4_T_cells,GSE103844
SRX2378880,T_helpers,CD4_T_cells,GSE90569
SRX4044531,CD4_T_cells,CD4_T_cells,GSE114065
SRX1921653,,PDC,GSE84204
SRX5961720,,B_cells,GSE132138
SRX3399221,Follicular_T_helper,CD4_T_cells,GSE107011
SRX5162224,Monocytes,Monocytes,GSE124073
SRX3351230,CD8_T_cells,CD8_T_cells,GSE106420
SRX2585451,B_cells,B_cells,GSE95282
SRX3862279,NK_cells,NK_cells,GSE112483
SRX1802846,gd_T_Cells,T_cells,GSE81975
SRX5016472,,CD4_T_cells,GSE122612
SRX4620960,Tregs,CD4_T_cells,GSE119191
