,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
MIR1302-2HG,0.0,0.0,0.0,2.7893475e-05,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,0.00031638858,0.0014728918,0.0002712482,0.00027372708,0.00037556372,0.0016966909,0.00016289229,0.0,0.0029226888,0.00014064387
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.4,0.0,0.0,7.404271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,1.1450737e-05,0.0,0.0,0.0,0.0,0.0,0.0
AC114498.1,0.0,0.0,0.0,8.550561e-06,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0,0.0,7.765822e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.5,0.004786581,0.012315012,0.0092104655,0.007708722,0.009504966,0.00818836,0.006399095,0.003686777,0.003309493,0.0061987047
FAM87B,1.051687e-05,0.00088534574,4.788302e-05,1.3377012e-05,0.0006195065,0.00021005847,0.0,0.0,0.0,0.0
LINC00115,0.007029118,0.011740634,0.0075270645,0.005560154,0.010053625,0.0047764387,0.009797231,0.004323947,0.011098562,0.0072433674
FAM41C,0.006398427,0.0076180976,0.007557082,0.0023384665,0.009993221,0.0056117424,0.009639263,0.0034718667,0.009648412,0.005582236
AL645608.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.3,0.0017774608,0.0017478776,0.0011366352,0.0008795725,0.0017246796,0.0040795826,0.005004817,0.0010623602,0.004796625,0.0011949276
AL645608.5,5.373375e-05,0.0,0.0,2.3984681e-05,0.0,0.00030289852,0.00031115604,0.0,0.0,0.0001121455
AL645608.1,2.7653732e-05,0.0054343618,3.5519388e-05,3.3127963e-05,0.0,0.00010278341,0.0023109673,0.0,0.0,0.0
SAMD11,8.5366715e-05,0.044978507,4.074438e-05,0.0017561421,0.0003644069,0.0011334987,0.002309981,0.0,0.0015612448,0.00049156795
NOC2L,0.028242448,0.055998947,0.041821286,0.031164102,0.035958003,0.0520894,0.035780095,0.021229135,0.04069718,0.05797798
KLHL17,0.00095651415,0.0016227295,0.00062509853,0.0012199603,0.00023822478,0.0016676232,0.0008944413,0.0,0.0027631551,0.0012772711
PLEKHN1,0.0031639144,0.0033090557,0.00015006117,0.0070379185,0.0012918265,0.001344693,0.010816836,0.0,0.0,0.0024080789
PERM1,6.3978405e-05,0.0007264838,4.5495788e-05,4.7514583e-05,5.3776774e-05,0.0,0.0002278678,0.0,0.002376295,0.0
AL645608.8,0.00045621162,0.0048370194,7.677592e-05,0.00014316822,0.004946874,0.0020787006,0.00022923993,0.0073515004,0.0,0.0022438334
HES4,0.01994583,0.14195965,0.007155878,0.0044002165,0.062603384,0.08146001,0.020914178,0.06994378,0.061209407,0.018790834
ISG15,0.1488035,0.21126828,0.09501906,0.11479778,0.23284741,0.3345116,0.1312208,0.064903185,0.1393118,0.26703432
AL645608.2,0.0001986915,0.0,0.0,0.0,0.00012053629,0.0,0.00041207104,0.0,0.0,0.0
AGRN,0.001418957,0.03222696,0.0009063418,0.0010254747,0.007038798,0.050995886,0.0015494744,0.001369317,0.018358354,0.011093931
AL645608.9,8.038983e-05,0.0001730098,0.0,0.0,0.00023560318,0.0,0.0005973368,0.0,0.0,4.7730715e-05
RNF223,5.492208e-05,0.00048262978,0.00013409102,0.00014793532,0.0,0.0005553797,0.0,0.0,0.0,0.0048919683
C1orf159,0.0025940295,0.00541407,0.00213752,0.0019714334,0.0034035644,0.00676222,0.0026323025,0.004940283,0.0113463905,0.0071549984
LINC01342,0.0,0.0,4.8191203e-05,2.7778342e-05,0.0,0.0,0.0,0.0,0.0,0.0003492559
AL390719.2,9.6021555e-05,0.0,0.00014306775,0.00012114688,0.0,0.0,0.0,0.0,0.0,0.009464792
TTLL10-AS1,5.0033777e-05,0.0,0.0,1.5815374e-05,4.4048826e-05,0.0009718684,0.00033501087,0.0,0.0,0.00021896668
TTLL10,0.0014330857,0.0014268114,0.0013107397,0.0002601638,0.0006593776,0.0078143785,0.008451794,0.0042727166,0.0,0.0015365328
TNFRSF18,0.05731033,0.005585093,0.006019546,0.09405451,0.035457786,0.010397043,0.24504718,0.019491369,0.0013099164,0.002443533
TNFRSF4,0.076787926,0.011308586,0.006210706,0.07346711,0.040832248,0.17063107,0.13887884,0.04282107,0.006972666,0.003660782
SDF4,0.044849392,0.13359568,0.027086185,0.08521801,0.07317631,0.15171492,0.06843295,0.024517626,0.091542125,0.15332949
B3GALT6,0.0030331216,0.010749034,0.00138689,0.0024489556,0.008455709,0.0121009555,0.0038103817,0.00163643,0.0200905,0.0048474213
C1QTNF12,0.000528218,0.0019030254,0.00032789653,0.0006000715,0.0012296067,0.034107853,0.00080571184,0.002149813,0.0045651407,0.0873905
AL162741.1,0.00015400369,0.0,0.0002547173,9.2070084e-05,0.00023921455,0.0,0.0013990789,0.0,0.0,0.00039672013
UBE2J2,0.025240537,0.046080448,0.022726336,0.026134066,0.03134628,0.06644274,0.02897459,0.01735638,0.045836687,0.055739284
LINC01786,0.00038025383,0.0,0.00026289828,0.00021075031,0.00012595397,0.0002443626,0.00046504324,0.0007327727,0.0,6.0745224e-05
SCNN1D,0.00042979297,0.0028810762,0.0003312679,0.00036830103,0.0005573853,0.00084561075,0.00065168,0.0,0.0,0.0044622356
ACAP3,0.0080638835,0.034365073,0.004950784,0.01604021,0.011651603,0.017616596,0.006566538,0.0069434983,0.030593133,0.015910346
PUSL1,0.0075156996,0.016734172,0.0064806473,0.012358634,0.012904557,0.01421633,0.009631909,0.0035720374,0.0064593228,0.024072839
INTS11,0.027168442,0.054563142,0.024012418,0.026610395,0.039314087,0.052259136,0.02650223,0.008993996,0.05460031,0.06995086
CPTP,0.005136708,0.009516229,0.004654397,0.01780697,0.006025307,0.033730105,0.0068312,0.0014172952,0.019256271,0.044067558
TAS1R3,0.00022629109,0.00013463797,0.00054162694,0.010884362,0.0002812526,0.0005002134,0.00015546667,0.0,0.0,0.0016660476
DVL1,0.0020871202,0.012631058,0.0010803407,0.005175105,0.0036793326,0.016570026,0.0015493173,0.0,0.0026422418,0.015779134
MXRA8,0.00026210633,0.22235188,0.00044773237,0.0006985864,0.00048202564,0.0068904907,0.0,0.0,0.22445865,0.00010645842
AURKAIP1,0.08378165,0.1544433,0.090558894,0.16870244,0.16172199,0.17482768,0.09029627,0.055835065,0.14894637,0.3809231
CCNL2,0.025334617,0.070342354,0.020940702,0.029293997,0.030785073,0.08348509,0.027963856,0.018766418,0.044827055,0.047262285
MRPL20,0.10685233,0.18512522,0.089938916,0.1318246,0.1681803,0.19789292,0.109046735,0.062142607,0.18646462,0.21982244
AL391244.3,0.0005235361,0.0023087512,0.0014906605,0.0003845097,0.00082376704,0.0008877741,0.0006734053,0.0,0.0,0.00072959525
ANKRD65,0.00011073278,0.015892,0.00022301078,0.00012744124,0.0029156252,0.06639672,0.0003353301,0.0,0.0071328175,0.00042317953
AL391244.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM88B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01770,0.0,0.0006480628,0.0,5.0187464e-05,0.0,0.0039607077,0.0,0.0,0.0,0.00019167479
VWA1,0.00036260608,0.022765055,0.0003607188,0.00056527613,0.00053967704,0.20187809,0.0,0.0,0.13063398,0.006707187
ATAD3C,0.003219882,0.0020529125,0.0023783513,0.01815031,0.0027132265,0.012892956,0.006370086,0.0049056476,0.0075936303,0.0026442455
ATAD3B,0.0064616557,0.014310389,0.0051497277,0.0053979554,0.009201927,0.01464772,0.009069423,0.002474382,0.013102089,0.017780714
ATAD3A,0.005428455,0.015437694,0.0050081997,0.008421098,0.010574039,0.015152224,0.006774799,0.0069091846,0.008559397,0.032144044
TMEM240,0.0,0.0031733122,6.740376e-05,7.671619e-05,9.086643e-05,0.00027252996,0.0,0.0,0.0,8.5459455e-05
SSU72,0.12712032,0.1413742,0.11639352,0.09896662,0.14588119,0.18310918,0.11658119,0.057094406,0.12311893,0.19743502
AL645728.1,0.0067831343,0.003184927,0.0030510356,0.003969721,0.004233349,0.0031908364,0.011174841,0.003710614,0.0,0.0055053416
FNDC10,0.00012397952,0.0031886462,5.9263177e-05,9.788128e-05,0.0031048076,0.00031775763,0.00016496774,0.0034442688,0.0,0.004849985
AL691432.2,0.0044581825,0.011627339,0.006956537,0.0029698135,0.0068280394,0.008143121,0.005381207,0.0051442,0.02945205,0.00985415
MIB2,0.027362991,0.028735219,0.017186955,0.022511102,0.013872036,0.017401094,0.043388534,0.0046103746,0.019761296,0.04224178
MMP23B,0.0022993246,0.114401646,0.0006430445,0.002419714,0.002780334,0.0012562139,0.012659426,0.0011528219,0.0,0.002697304
CDK11B,0.02517376,0.036314283,0.020559784,0.014281042,0.029594524,0.05602053,0.03194511,0.01759243,0.035581026,0.07651426
FO704657.1,0.0008532302,6.2692365e-05,0.00032130437,0.00057534187,0.0012012201,0.0004979122,0.0011105783,0.0010071216,0.0,0.00083645206
SLC35E2B,0.028195579,0.056197926,0.020279849,0.02223593,0.02034183,0.044583153,0.033470705,0.009049406,0.046281368,0.03560301
CDK11A,0.03539074,0.030070003,0.025550773,0.014724718,0.03514806,0.041240443,0.040085103,0.020722594,0.016533714,0.07177363
