,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
MIR1302-2HG,0.0,0.0,0.0,6.34005e-08,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,5.4978705e-07,1.7639969e-06,4.830835e-07,6.221682e-07,4.885745e-07,1.8604527e-06,2.5149606e-07,0.0,3.9341985e-06,1.5523328e-07
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.4,0.0,0.0,1.3186747e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,2.6026962e-08,0.0,0.0,0.0,0.0,0.0,0.0
AC114498.1,0.0,0.0,0.0,1.9435005e-08,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0,0.0,1.3830655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.5,8.31762e-06,1.4748974e-05,1.6403515e-05,1.7521546e-05,1.2365105e-05,8.978687e-06,9.879824e-06,8.522671e-06,4.454871e-06,6.841715e-06
FAM87B,1.8275118e-08,1.0603271e-06,8.5277975e-08,3.040529e-08,8.059222e-07,2.3033296e-07,0.0,0.0,0.0,0.0
LINC00115,1.22144675e-05,1.40610755e-05,1.3405437e-05,1.2637956e-05,1.307886e-05,5.2374526e-06,1.5126345e-05,9.995607e-06,1.4939649e-05,7.994743e-06
FAM41C,1.1118518e-05,9.1237525e-06,1.3458897e-05,5.3152194e-06,1.300028e-05,6.1533783e-06,1.4882451e-05,8.025865e-06,1.2987618e-05,6.161298e-06
AL645608.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.3,3.0886858e-06,2.0933314e-06,2.0243074e-06,1.9992249e-06,2.2436527e-06,4.473337e-06,7.727142e-06,2.4558433e-06,6.456683e-06,1.318881e-06
AL645608.5,9.3372904e-08,0.0,0.0,5.4516e-08,0.0,3.3213377e-07,4.8040647e-07,0.0,0.0,1.2377869e-07
AL645608.1,4.8053767e-08,6.5084196e-06,6.325878e-08,7.529823e-08,0.0,1.1270389e-07,3.5679966e-06,0.0,0.0,0.0
SAMD11,1.4834136e-07,5.3868145e-05,7.2564305e-08,3.991625e-06,4.7406056e-07,1.2429022e-06,3.5664739e-06,0.0,2.1015742e-06,5.4255975e-07
NOC2L,4.9076778e-05,6.7066685e-05,7.448224e-05,7.0834474e-05,4.677812e-05,5.711698e-05,5.5242348e-05,4.9075094e-05,5.4782016e-05,6.399221e-05
KLHL17,1.6621304e-06,1.9434488e-06,1.1132785e-06,2.7729097e-06,3.0990896e-07,1.8285793e-06,1.3809645e-06,0.0,3.719452e-06,1.4097662e-06
PLEKHN1,5.49792e-06,3.9630636e-06,2.6725365e-07,1.5996842e-05,1.6805499e-06,1.4744805e-06,1.6700555e-05,0.0,0.0,2.6578762e-06
PERM1,1.1117499e-07,8.700675e-07,8.10264e-08,1.0799831e-07,6.995874e-08,0.0,3.5181438e-07,0.0,3.1987038e-06,0.0
AL645608.8,7.927569e-07,5.793017e-06,1.3673521e-07,3.254143e-07,6.435437e-06,2.2793333e-06,3.5393288e-07,1.699436e-05,0.0,2.476593e-06
HES4,3.465978e-05,0.00017001684,1.2744367e-05,1.0001476e-05,8.1441365e-05,8.932239e-05,3.2290252e-05,0.00016168805,8.239329e-05,2.0740063e-05
ISG15,0.0002585752,0.00025302375,0.00016922559,0.0002609297,0.00030291348,0.0003667981,0.00020259715,0.00015003578,0.00018752605,0.00029473458
AL645608.2,3.4526533e-07,0.0,0.0,0.0,1.5680686e-07,0.0,6.3621326e-07,0.0,0.0,0.0
AGRN,2.4657154e-06,3.8596358e-05,1.6141629e-06,2.3308537e-06,9.156842e-06,5.5917924e-05,2.3922967e-06,3.1654306e-06,2.4711973e-05,1.2244738e-05
AL645608.9,1.3969306e-07,2.0720378e-07,0.0,0.0,3.064985e-07,0.0,9.2225264e-07,0.0,0.0,5.2681965e-08
RNF223,9.5437855e-08,5.7801765e-07,2.388114e-07,3.362497e-07,0.0,6.08984e-07,0.0,0.0,0.0,5.3994268e-06
C1orf159,4.5076335e-06,6.4841174e-06,3.8068476e-06,4.4809713e-06,4.427731e-06,7.414898e-06,4.064119e-06,1.1420383e-05,1.5273248e-05,7.897208e-06
LINC01342,0.0,0.0,8.5826834e-08,6.3138806e-08,0.0,0.0,0.0,0.0,0.0,3.8548524e-07
AL390719.2,1.6685622e-07,0.0,2.5479864e-07,2.753609e-07,0.0,0.0,0.0,0.0,0.0,1.04466035e-05
